id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
e_iuiTkBuQs;8 УРОВЕНЬ ГАЙДЫ;КУПИ ЕГО И НЕ ДУМАЙ-FERDINAND - ГАЙД;2021-01-14T07:00:06Z;138249;6478;272;0;633;2115
C2an-UgGZTs;8 УРОВЕНЬ ГАЙДЫ;ПОЛЬСКАЯ ДИПЛОМНАЯ РАБОТА-53TP - ГАЙД;2021-01-22T07:00:01Z;52284;3469;49;0;387;1664
MaHC9OsxI18;8 УРОВЕНЬ ГАЙДЫ;ТЫ ОБЯЗАН ЕГО КУПИТЬ-TIGER II - ГАЙД;2021-01-24T07:00:04Z;63965;5035;104;0;428;1607
E0o7TKuxqKA;8 УРОВЕНЬ ГАЙДЫ;ТИТАНОВАЯ ГОЛОВА-Т32 - ГАЙД;2021-02-12T07:00:02Z;41720;3734;207;0;303;1650
3iSrBWgh9Vw;8 УРОВЕНЬ ГАЙДЫ;ТАНК, КОТОРЫЙ ОБМАНЫВАЕТ-PROGETTO 54 - ГАЙД;2021-02-18T07:00:01Z;47364;3126;89;0;244;1920
WLBk8CWJv9w;8 УРОВЕНЬ ГАЙДЫ;КОЛЯ МОЖЕТ - КВ-4 - ГАЙД;2021-02-24T07:00:14Z;41835;3236;39;0;301;1422
3AjvoAYsQgA;7 УРОВЕНЬ ГАЙДЫ;ТВОЙ ЛИЧНЫЙ ИСТРЕБИТЕЛЬ - T28 HTC - ГАЙД;2021-01-10T07:00:02Z;71549;5800;90;0;679;1572
JcLpOAdkuTw;7 УРОВЕНЬ ГАЙДЫ;РВЕТ 7 УРОВЕНЬ - АТ 15А - ГАЙД;2021-02-26T07:00:02Z;38535;2987;30;0;318;1409
2HBiKSPB8lo;7 УРОВЕНЬ ГАЙДЫ;ЛУЧШИЙ ТАНК 7 УРОВНЯ - Т29 - ГАЙД;2021-03-12T07:00:00Z;33957;2998;40;0;290;1435
VYHOgKp4o7Q;9 УРОВЕНЬ ГАЙДЫ;БЕСПОЛЕЗНЫЙ ДЕД-ОБЪЕКТ 777-ЧЕТЫРЕ МЕСЯЦА ВПУСТУЮ - ГАЙД;2021-01-04T07:00:03Z;74350;5036;89;0;803;1716
r-G4Fyj4Auo;9 УРОВЕНЬ ГАЙДЫ;ЭТО САМА СТАБИЛЬНОСТЬ-AE Phase I - ГАЙД;2021-01-06T07:00:07Z;65350;4953;81;0;537;1607
q-SkiaawNco;9 УРОВЕНЬ ГАЙДЫ;ОДИН СНАРЯД ЗА 40 СЕКУНД-Char Futur 4 - ГАЙД;2021-01-18T07:00:19Z;80665;4820;121;0;403;1456
pinTvCnXrwo;9 УРОВЕНЬ ГАЙДЫ;ТАНК ЗА 20000 БОН-Kpz 50t-СТОИТ ЛИ? - ГАЙД;2021-01-20T07:00:07Z;56098;3972;64;0;291;1777
l-Iy4GmjOyM;9 УРОВЕНЬ ГАЙДЫ;ГРЯЗНАЯ ТРЯПКА-PROGETTO 66 - ГАЙД;2021-02-20T07:00:07Z;39294;2734;71;0;186;1915
eFC_JTEmo0M;9 УРОВЕНЬ ГАЙДЫ;ТЯЖЕЛЕЙШИЙ ГЕЙМПЛЕЙ - АМХ 50 120 - ГАЙД;2021-02-28T07:00:16Z;40293;2719;38;0;238;1961
CnCillJy6uo;9 УРОВЕНЬ ГАЙДЫ;ПОЧТИ Е5 - М103 - ГАЙД;2021-03-02T07:00:01Z;34612;3065;38;0;244;1677
KN7IzhCaZz4;9 УРОВЕНЬ ГАЙДЫ;ТРЕНАЖЕР ДЛЯ ПСЕВДЫ - LEOPARD PT A;2021-03-14T07:00:02Z;39535;3425;34;0;229;1591
jw5xZiTyLio;9 УРОВЕНЬ ГАЙДЫ;МЕХАНИКА РАДИ МЕХАНИКИ - KUNZE PANZER - ГАЙД;2021-03-18T07:00:08Z;28539;2555;29;0;193;1458
7nDsNCybcP4;ПОЛЕЗНОЕ;НАСТРОЙКИ ДЛЯ НАГИБА-КАК УВЕЛИЧИТЬ FPS/КАК УБРАТЬ ЛАГИ/ОГРАНИЧИТЬ FPS;2020-03-07T09:00:37Z;191962;14101;288;0;1419;7370
gK2_G_PTWWs;ПОЛЕЗНОЕ;МОДПАК KORBEN TEAM;2020-09-02T14:36:30Z;223274;15253;482;0;1571;653
QQY7n9BjOFQ;CYBERPUNK 2077;CYBERPUNK 2077-ПОГРУЖЕНИЕ В МИР БУДУЩЕГО (ЧАСТЬ 1);2020-12-10T20:24:25Z;135653;9317;371;0;140;16792
1a24hN04i4U;CYBERPUNK 2077;CYBERPUNK 2077-КИАНУ РИВЗ У НАС В ГОЛОВЕ (ЧАСТЬ 2);2020-12-11T20:37:32Z;73254;4743;177;0;72;18170
TrVRLSmy3u0;CYBERPUNK 2077;Cyberpunk 2077-ДАЛЬШЕ ПО СЮЖЕТУ-ПОСТАВИЛ РУКИ БОГОМОЛА (ЧАСТЬ 3);2020-12-13T20:46:15Z;76377;5120;172;0;75;18506
